90000345,16:03,scraped
90000346,16:03,estimated
90000347,16:04,estimated
90000522,16:05,estimated
90000524,16:06,scraped
90000525,16:07,estimated
90000526,16:08,scraped
90000383,16:08,estimated
90000384,16:09,estimated
90000436,16:09,estimated
90000424,16:10,scraped
90000425,16:10,estimated
90000426,16:11,estimated
90000427,16:12,estimated
90000428,16:13,estimated
90000429,16:14,scraped
90000071,16:14,estimated
90000431,16:15,estimated
90000432,16:15,estimated
90000433,16:17,scraped
90000434,16:18,estimated
90000068,16:19,estimated
90000075,16:20,scraped
90000075,16:21,scraped
90000151,16:22,estimated
90000414,16:24,estimated
90000415,16:26,estimated
90000013,16:28,scraped
90000481,16:29,estimated
90000483,16:30,estimated
90000330,16:31,scraped
90000331,16:31,estimated
90000332,16:33,scraped
90000003,16:34,estimated
90000004,16:37,scraped
90000001,16:37,estimated
90000002,16:38,estimated
90000027,16:39,estimated
90000028,16:40,estimated
90000295,16:42,scraped
