10000802,20:05,scraped
10000859,20:06,estimated
10000820,20:07,scraped
10000857,20:08,estimated
10000819,20:09,estimated
10000846,20:11,estimated
10000849,20:12,estimated
10000850,20:12,estimated
10000852,20:14,scraped
10000832,20:14,estimated
10000818,20:16,estimated
90000075,20:19,scraped
90000075,20:21,scraped
90000139,20:22,estimated
90000140,20:23,scraped
90000717,20:23,estimated
90000718,20:24,estimated
90000719,20:24,estimated
90000720,20:25,estimated
90000721,20:26,scraped
90000722,20:26,estimated
90000723,20:27,estimated
90000524,20:28,scraped
90000525,20:29,estimated
90000526,20:30,scraped
