stopId,long_name,short_name,latitude,longitude,accusative_case,genitive_case
10000868,Dalsmári / Lindasmári,Lindasmári,64.104551,-21.889135,Lindasmára,Lindasmára
10000869,Dalsmári / Lindasmári,Lindasmári,64.104647,-21.88916,Lindasmára,Lindasmára
10000870,Smáraskóli,Smáraskóli,64.102855,-21.894009,Smáraskóla,Smáraskóla
10000871,Smáraskóli,Smáraskóli,64.102915,-21.893707,Smáraskóla,Smáraskóla
10000872,Smárar,Smárar,64.102285,-21.892145,Smárum,Smára
10000873,Smárar,Smárar,64.10207,-21.892387,Smárum,Smára
10000874,Smáralind,Smáralind,64.102703,-21.886314,Smáralind,Smáralindar
10000875,Smáralind,Smáralind,64.102525,-21.885823,Smáralind,Smáralindar
10000876,Lindir,Lindir,64.098921,-21.871548,Lindum,Linda
10000877,Salavegur / Ársalir,Ársalir,64.094351,-21.857936,Ársölum,Ársala
10000880,Arnarnesvegur / Salavegur,Salavegur,64.089366,-21.845248,Salavegi,Salavegar
10000882,Lindarvegur,Lindarvegur,64.100825,-21.871459,Lindarvegi,Lindarvegar
10000883,Hlíðardalsvegur / Kópalind,Kópalind,64.102109,-21.864024,Kópalind,Kópalindar
10000884,Hlíðardalsvegur / Iðalind,Iðalind,64.099474,-21.862353,Iðalind,Iðalindar
10000885,Hvammsvegur,Hvammsvegur,64.096328,-21.858788,Hvammsvegi,Hvammsvegar
10000886,Versalir,Versalir,64.091554,-21.858181,Versölum,Versala
10000887,Salavegur / Fensalir,Fensalir,64.093776,-21.853171,Fensölum,Fensala
10000889,Salavegur / Kórsalir,Kórsalir,64.09212,-21.846356,Kórsölum,Kórsala
10000891,Salavegur / Ársalir,Ársalir,64.09449,-21.857976,Ársölum,Ársala
10000892,Hlíðarvegur / Grænatunga,Grænatunga,64.108302,-21.895524,Grænutungu,Grænutungu
10000893,Hlíðarvegur / Vogatunga,Vogatunga,64.107808,-21.901346,Vogatungu,Vogatungu
10000894,Hlíðarvegur / Hrauntunga,Hrauntunga,64.108752,-21.890088,Hrauntungu,Hrauntungu
