stopId,long name,short name,latitude,longitude
10000889,Salavegur / Kórsalir,Kórsalir,64.0921200001105,-21.8463559990426
10000891,Salavegur / Ársalir,Ársalir,64.0944900004027,-21.8579759993436
10000892,Hlíðarvegur / Grænatunga,Grænatunga,64.1083020004137,-21.8955240003154
10000893,Hlíðarvegur / Vogatunga,Vogatunga,64.1078080003049,-21.9013459998516
10000894,Hlíðarvegur / Hrauntunga,Hrauntunga,64.1087520001187,-21.8900880009245
10000895,Hlíðarhjalli / Brekkuhjalli,Brekkuhjalli,64.1075869999656,-21.8796160006864
10000900,Smárahvammsvegur / Hlíðarsmári,Hlíðarsmári,64.0976309997141,-21.8914839998735
10000901,Smáralind,Smáralind,64.1000150001658,-21.889214999341
10000903,Smáralind,Smáralind,64.0999890000348,-21.8898370010063
10000904,Smárahvammsvegur / Hlíðarsmári,Hlíðarsmári,64.0976160000947,-21.8917519993974
10000905,Versalir,Versalir,64.0916309997621,-21.8580039992015
10000906,Kársnesbraut / Huldubraut,Huldubraut,64.1142770003432,-21.9149670005553
10000907,Hvammsvegur,Hvammsvegur,64.0964630002969,-21.8587419992974
10000908,Hlíðardalsvegur / Iðalind,Iðalind,64.0988549995587,-21.8622800002664
10000909,Hlíðardalsvegur / Krossalind,Krossalind,64.1022170000428,-21.8638890007539
10000910,Lindarvegur,Lindarvegur,64.1007939998788,-21.8717630002382
10000911,Salavegur / Rjúpnasalir,Rjúpnasalir,64.090011999931,-21.8439330009435
10000917,Skálaheiði,Skálaheiði,64.1109440001341,-21.8738390002367
10000918,Hjallakirkja,Hjallakirkja,64.1095139997714,-21.8661389992422
10000919,Hlíðarhjalli / Fífuhjalli,Fífuhjalli,64.1076950002446,-21.8600970009216
10000920,Rjúpnavegur,Rjúpnavegur,64.086750000329,-21.83359300001
10000922,Hörðuvallaskóli,Hörðuvallaskóli,64.0845419999264,-21.8257110000687
10000923,Hörðuvallaskóli,Hörðuvallaskóli,64.0847289998782,-21.8258779998526
10000925,Rjúpnavegur,Rjúpnavegur,64.0869049997779,-21.8335850008378
10000926,Skálaheiði,Skálaheiði,64.1109810003226,-21.8736689994972
10000927,Engihjalli,Engihjalli,64.1098069998668,-21.8604179997019
10000928,Hjallaskóli,Hjallaskóli,64.1108259998545,-21.8624310008688
10000929,Hlíðarvegur / Vogatunga,Vogatunga,64.1077180002714,-21.9013570007884
10000930,Hlíðarvegur / Grænatunga,Grænatunga,64.1082190002612,-21.8952750000281
10000931,Hlíðarvegur / Hrauntunga,Hrauntunga,64.1086220002802,-21.8905420006566
10000932,Hlíðarhjalli / Brekkuhjalli,Brekkuhjalli,64.1075199995655,-21.8793629998415
10000933,Hlíðarhjalli / Bakkahjalli,Bakkahjalli,64.1073430000448,-21.8738400009682
10000935,Hjallaskóli,Hjallaskóli,64.1108540001872,-21.8625830006309
10000936,Engihjalli,Engihjalli,64.1097400001511,-21.8604980001795
10000937,Kársnesbraut / Sæbólsbraut,Sæbólsbraut,64.1147200001258,-21.9035659994004
10000938,Kársnesbraut / Huldubraut,Huldubraut,64.1144060002889,-21.9150750005654
10000939,Kársnesbraut / Litlavör,Litlavör,64.1138340004062,-21.9232080005438
10000940,Kársnesbraut / Vesturvör,Vesturvör,64.1137500000698,-21.9300379999715
10000941,Kópavogsbraut / Borgarholtsbraut,Borgarholtsbraut,64.1112049996499,-21.9357970006472
10000942,Kópavogsbraut / Kópavör,Kópavör,64.1092040003482,-21.9309640002739
10000943,Kársnesskóli,Kársnesskóli,64.1091030004285,-21.9239500007834
10000944,Kópavogslaug,Kópavogslaug,64.1106250000982,-21.9178599992264
10000945,Vatnsendavegur / Breiðahvarf,Breiðahvarf,64.0907440002275,-21.8079180001611
10000946,Digranesskóli,Digranesskóli,64.1114279997598,-21.8729920002003
10000947,Digranesskóli,Digranesskóli,64.1113159997368,-21.8711350009289
10000948,Lundur,Lundur,64.1145869999661,-21.8949199996751
10000949,Lundur,Lundur,64.1148359997209,-21.8952719997943
10000950,Þingmannaleið / Vallakór,Vallakór,64.0837719999451,-21.8185329996827
10000951,Boðaþing,Boðaþing,64.0821189996232,-21.817871001699
10000952,Þingmannaleið / Aðalþing,Aðalþing,64.0839070002997,-21.818447999018
10000953,Vatnsendahvarf / Víkurhvarf,Víkurhvarf,64.093626000179,-21.8083570006516
10000954,Vatnsendahvarf / Ögurhvarf,Ögurhvarf,64.0964250002721,-21.8054880009502
10000955,Vatnsendahvarf / Ögurhvarf,Ögurhvarf,64.0965300001848,-21.8057700009657
10000956,Vatnsendahvarf / Víkurhvarf,Víkurhvarf,64.0936970003535,-21.8086509999004
10000957,Dalaþing,Dalaþing,64.08211899999768,-21.817870999993207
11000100,Grænamýri,Grænamýri,64.1461909997033,-21.9776589994902
11000101,Nesvegur / Skerjabraut,Skerjabraut,64.1483360000182,-21.983209999667
11000102,Eiðistorg,Eiðistorg,64.1507009997451,-21.9870769992311
11000103,Íþróttamiðstöð Seltjarnarness,Íþróttamiðstöð Seltjarnarness,64.1499079995723,-21.9924309989793
11000104,Suðurströnd / Bakkavör,Bakkavör,64.1513229998555,-22.0026259989733
11000105,Suðurströnd / Miðbraut,Miðbraut,64.1532589999862,-22.0048120006806
11000106,Lindarbraut / Hæðarbraut,Hæðarbraut,64.1554730000951,-22.0035109993967
11000107,Lindarbraut / Hofgarðar,Hofgarðar,64.1576399995514,-22.0012970002013
11000108,Norðurströnd / Bollagarðar,Bollagarðar,64.1576360004315,-21.9925700008084
11000109,Norðurströnd / Fornaströnd,Fornaströnd,64.1547979996556,-21.9866269999045
11000110,Norðurströnd / Austurströnd,Austurströnd,64.1525919998466,-21.9859469995394
11000111,Eiðistorg,Eiðistorg,64.1503869996076,-21.9861000004811
11000112,Nesvegur / Skerjabraut,Skerjabraut,64.1480359996226,-21.98298100059
11000113,Grænamýri,Grænamýri,64.1460870003681,-21.9776920000037
11000147,Norðurströnd / Barðaströnd,Barðaströnd,64.1567819998002,-21.9882040004994
13001201,Arnarneshæð,Arnarneshæð,64.0996321793008,-21.9171827296273
13001202,Arnarneshæð,Arnarneshæð,64.0993350000939,-21.913225999914
13001204,Arnarneshæð,Arnarneshæð,64.099528999833,-21.9129019999529
13001206,Vífilsstaðavegur / Sjávargrund,Sjávargrund,64.091965000031,-21.9297679996392
13001207,Arnarnesvegur / Bæjarbraut,Bæjarbraut,64.0983830002434,-21.903811000034
13001208,Karlabraut / Reynilundur,Reynilundur,64.0856509997823,-21.909578000161
13001209,Karlabraut / Espilundur,Espilundur,64.0858000002383,-21.9092790006438
13001210,Karlabraut / Furulundur,Furulundur,64.088234999775,-21.9072850007309
13001211,Karlabraut / Búðir,Búðir,64.0896270003342,-21.904301000733
13001212,Karlabraut / Heiðarlundur,Heiðarlundur,64.0882189995666,-21.9075330007365
13001215,Vídalínskirkja,Vídalínskirkja,64.0881559997112,-21.9131160009018
13001216,Vídalínskirkja,Vídalínskirkja,64.08800300033,-21.9131810000688
13001218,Vídalínskirkja,Vídalínskirkja,64.0867750003817,-21.9164220002226
13001219,Garðatorg,Garðatorg,64.0885009999539,-21.9220390005974
13001220,Garðatorg,Garðatorg,64.0896020001711,-21.9211890001762
13001221,Hofsstaðabraut / Lyngmóar,Lyngmóar,64.0912980004336,-21.9144080005223
13001222,Fjölbrautaskólinn í Garðabæ / FG,FG,64.0925279995662,-21.9028470005611
13001223,Bæjarbraut / Blómahæð,Blómahæð,64.0964219998462,-21.9027839997978
13001224,Karlabraut / Búðir,Búðir,64.0895799998093,-21.9045830000373
13001225,Bæjarbraut / Maltakur,Maltakur,64.0960199999094,-21.9021200002078
13001226,Fjölbrautaskólinn í Garðabæ / FG,FG,64.0925849996845,-21.9032210007609
13001227,Hofsstaðabraut / Hlíðarbyggð,Hlíðarbyggð,64.0910819998643,-21.9141509991723
13001228,Garðatorg,Garðatorg,64.0895239995637,-21.9214890005602
13001232,IKEA,IKEA,64.0755750004378,-21.9132780005485
13001233,Flatahraun / Álftanesvegur,Álftanesvegur,64.0775150000108,-21.9295959999843
13001300,Ásgarður,Ásgarður,64.0896789998123,-21.9297969992497
13001301,Ásabraut / Arnarás,Arnarás,64.0907500001804,-21.9429559996427
13001302,Ásabraut / Birkiás,Birkiás,64.0880760000724,-21.9405290006341
13001303,Ásabraut / Brekkuás,Brekkuás,64.0869729995833,-21.9421660005296
13001304,Ásabraut / Hraunsholtsbraut,Hraunsholtsbraut,64.0856910001982,-21.950248001027
13001305,Álftanesvegur / Herjólfsgata,Herjólfsgata,64.0850660002626,-21.9683580001177
13001306,Álftanesvegur / Garðaholtsvegur,Garðaholtsvegur,64.0892459997751,-21.9823340009023
13001322,Garðahraun,Garðahraun,64.0848269998842,-21.958036000586
13001323,Garðahraun,Garðahraun,64.0847189997082,-21.9578959990663
13001328,Álftanesvegur / Garðaholtsvegur,Garðaholtsvegur,64.0887689998855,-21.9812350005369
13001329,Álftanesvegur / Herjólfsgata,Herjólfsgata,64.0848100000801,-21.9676949998064
13001330,Vífilsstaðavegur / Sjáland,Sjáland,64.0916338529866,-21.942957558477
13001333,Vífilsstaðavegur / Sjáland,Sjáland,64.0918199996772,-21.9429559992354
13001334,Garðatorg,Garðatorg,64.0881650002426,-21.9216990009599
13001335,Vídalínskirkja,Vídalínskirkja,64.0863360000284,-21.9156940004013
13001336,Vífilsstaðavegur / Sjávargrund,Sjávargrund,64.0920209999641,-21.929625999894
13001337,Vífilsstaðavegur / Markarflöt,Markarflöt,64.0842079996484,-21.9041429992501
13001338,Vífilsstaðir,Vífilsstaðir,64.0822959999433,-21.8902360003228
13001339,Vífilsstaðavegur / Asparlundur,Asparlundur,64.084172000147,-21.9028660009593
13001343,Suðurhraun,Suðurhraun,64.0777669997497,-21.9265259996241
13001344,Austurhraun / Suðurhraun,Suðurhraun,64.0761610003736,-21.9227430002965
13001345,Marel,Marel,64.0767829997563,-21.9189720008136
13001346,Austurhraun / Miðhraun,Miðhraun,64.0780259998157,-21.9144259995168
13001347,Austurhraun / Miðhraun,Miðhraun,64.078047000014,-21.9145489995382
13001348,Marel,Marel,64.076844000425,-21.9191260006471
13001349,Austurhraun / Suðurhraun,Suðurhraun,64.0762219998074,-21.9229330003127
13001350,Suðurhraun,Suðurhraun,64.0778309996625,-21.9263869995319
13001351,Ásabraut / Hraunsholtsbraut,Hraunsholtsbraut,64.0855760003876,-21.9501529997831
13001352,Ásabraut / Brekkuás,Brekkuás,64.0869530000492,-21.9419859995745
13001353,Ásabraut / Birkiás,Birkiás,64.0881239999908,-21.9403189995337
13001354,Ásabraut / Arnarás,Arnarás,64.09087899992,-21.9427749998275
13001355,Sjálandsskóli,Sjálandsskóli,64.0925159996948,-21.9341460003333
13001356,Sjálandsskóli,Sjálandsskóli,64.0924510000371,-21.9337740004871
13001504,Hraunsholt,Hraunsholt,64.0862840004374,-21.9377480002783
13001506,Silfurtún,Silfurtún,64.0951629996401,-21.9223730004075
13001507,Arnarneshæð,Arnarneshæð,64.0993660002224,-21.9149919999218
13001516,Góa,Góa,64.0757546688459,-21.9285269065972
13001523,Hegranes,Hegranes,64.0961849998648,-21.9219880003899
13001525,Ásar,Ásar,64.0863550001281,-21.9382689996217
13001584,Flatahraun / Álftanesvegur,Álftanesvegur,64.0774519995912,-21.9296299993934
13001585,Góa,Góa,64.076174557787,-21.9286329149655
13001586,Reykjanesbraut / Vífilsstaðavegur,Vífilsstaðavegur,64.0834745973317,-21.8917179107666
13001587,Reykjanesbraut / Vífilsstaðavegur,Vífilsstaðavegur,64.0834745973317,-21.8965673446655
14001500,Fjörður,Fjörður,64.0678030000254,-21.9575810006641
14001501,Sjónarhóll,Sjónarhóll,64.072042000387,-21.95450999984
14001502,Hraunbrún,Hraunbrún,64.0759409995709,-21.9513170007421
14001503,Stakkahraun,Stakkahraun,64.0797370003778,-21.9488090000338
14001504,Hjallabraut / Hraunbrún,Hraunbrún,64.0723986411881,-21.9662195031014
14001505,Hjallabraut / Skátaheimilið,Skátaheimilið,64.0754180599421,-21.9661125984027
14001506,Hjallabraut / Skjólvangur,Skjólvangur,64.0772914313981,-21.9658417094433
14001507,Breiðvangur / Hjallabraut,Hjallabraut,64.0801615424813,-21.961635838546
14001508,Breiðvangur,Breiðvangur,64.0816366010656,-21.960644839037
14001509,Engidalsskóli,Engidalsskóli,64.082224280697,-21.9573837774225
