90000421,14:44,scraped
90000353,14:44,estimated
90000354,14:45,estimated
90000379,14:47,scraped
90000522,14:50,estimated
90000524,14:52,scraped
90000525,14:52,estimated
90000526,14:53,estimated
90000383,14:54,estimated
90000384,14:55,scraped
90000385,14:55,estimated
90000386,14:56,estimated
90000387,14:57,estimated
90000389,14:58,scraped
90000144,14:59,estimated
90000145,15:03,estimated
90000075,15:05,scraped
90000075,15:06,scraped
90000151,15:07,estimated
90000155,15:10,estimated
90000156,15:12,scraped
90000157,15:12,estimated
90000629,15:14,estimated
90000188,15:16,scraped
90000187,15:17,estimated
90000162,15:18,estimated
90000163,15:19,estimated
90000164,15:19,estimated
90000165,15:21,scraped
90000166,15:23,estimated
90000050,15:24,estimated
90000295,15:27,scraped
90000052,15:28,estimated
90000053,15:29,estimated
90000054,15:30,estimated
90000055,15:32,scraped
90000056,15:32,estimated
90000094,15:33,estimated
90000246,15:34,scraped
90000256,15:34,estimated
90000257,15:35,estimated
90000258,15:36,estimated
90000327,15:36,estimated
90000202,15:37,estimated
90000200,15:38,scraped
