,,,,,14001500,14001561,14001588,14001589,14001590,14001591,14001592,14001593,14001594,14001595,14001596,14001564,14001608,14001609,14001610,14001611,14001562,14001567,14001568,14001569,14001570,14001650,14001651,14001545,14001546,14001500
From (time),To (time),Every (minutes),Days,Schedule Type,Fjörður,Lækjargata,Hlíðarberg / 10-11,Hlíðarberg / Birkihlíð,Hlíðarberg / Engjahlíð,Hlíðarberg / Sóleyjarhlíð,Hlíðarberg / Móberg,Hlíðarberg / Lindarberg,Hlíðarberg / Klettaberg,Setbergsskóli,Hlíðarberg / Hamraberg,Kaldárselsvegur,Vörðutorg,Ásbraut / Álftaás,Ástjörn,Suðurhvammur,Suðurbraut / Melabraut,Háholt / Akurholt,Háholt / Bæjarholt,Háholt / Hörgsholt,Miklaholt,Hvaleyrarbraut / Brekkutröð,Hvaleyrarbraut / Stapagata,Strandgata / Flensborgartorg,Strandgata / Fjörukráin,Fjörður
6:35:00,,,weekdays,A,,,,,,,,,,,,,0,1,1,1,1,1,0,1,0,1,1,1,1,1
6:51:00,8:51:00,30,weekdays,A,0,2,2,1,1,1,1,0,1,0,1,3,1,1,1,1,1,1,0,1,0,1,1,1,1,1
9:51:00,12:51:00,60,weekdays,A,0,2,2,1,1,1,1,0,1,0,1,3,1,1,1,1,1,1,0,1,0,1,1,1,1,1
