,,,,,14001500,14001530,14001532,14001637,14001534,14001533,14001535,14001536,14001537,14001641,14001642,14001643,14001577,14001624
From (time),To (time),Every (minutes),Days,Schedule Type,Fjörður,Norðurbakki,Sundhöll Hafnarfjarðar,Herjólfsgata / Útsýnispallur,Hrafnista,Skjólvangur,Hjallabraut / Víðivangur,Hjallabraut / Miðvangur,Hjallahraun,Flatahraun / Álfaskeið,Bæjarhraun / Flatahraun,Bæjarhraun,Fjarðarkaup,Skútahraun / Slökkvistöð
6:51:00,12:51:00,30,weekdays,A,0,1,1,0,1,1,1,1,1,1,1,1,1,0
