,,,,,90000366,90000500,90000661,90000737,90000439,90000753,90000730,90000766,90000767,90000527,90000549,90000546,90000547,90000548,90000550,90000542,90000552,90000742,90000553,90000299,90000554,90000555,90000731,90000732,90000401,90000402,90000304
From (time),To (time),Every (minutes),Days,Schedule Type,Spöngin,Borgavegur,Borgavegur / Gullengi,Víkurvegur / Borgavegur,Víkurvegur / Keldnaholt,Mímisbrunnur / Úlfarsbraut,Reynisvatnsvegur,Reynisvatnsvegur / Katrínarlind,Reynisvatn,Biskupsgata,Gvendargeisli / Sæmundarsel,Gvendargeisli / Þórðarsveigur,Kristnibraut / Prestastígur,Ingunnarskóli,Kristnibraut / Maríubaugur,Þúsöld,Vínlandsleið / Húsasmiðjan,Vínlandsleið / Guðríðarstígur,Krókháls / GR,Krókháls / Suðurlandsvegur,Krókháls / Stuðlaháls,Krókháls / Hálsabraut,Hálsabraut,Bæjarbraut,Árbæjarskóli,Rofabær / Brekkubær,Fylkisvegur
7:11:00,18:11:00,60,weekdays,A,0,1,1,1,1,4,3,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
