,,,,,14001624,14001623,14001644,14001645,14001646,14001585,14001551,14001552,14001553,14001635,14001636,14001554,14001556,14001500
From (time),To (time),Every (minutes),Days,Schedule Type,Skútahraun / Slökkvistöð,Fjarðarkaup,Bæjarhraun,Bæjarhraun / Flatahraun,Flatahraun / Álfaskeið,Hjallahraun,Hjallabraut / Miðvangur,Hjallabraut / Víðivangur,Skjólvangur,Hrafnista,Herjólfsgata / Útsýnispallur,Sundhöll Hafnarfjarðar,Norðurbakki,Fjörður
7:02:00,13:02:00,30,weekdays,A,0,0,1,1,1,1,1,0,1,1,1,1,1,2
