,,,,,90000304,90000403,90000729,90000402,90000401,90000733,90000734,90000311,90000312,90000307,90000540,90000743,90000541,90000289,90000290,90000264,90000265,90000266,90000269,90000551,90000764,90000765,90000735,90000753,90000534,90000440,90000754,90000367,90000366
From (time),To (time),Every (minutes),Days,Schedule Type,Fylkisvegur,Hraunsás,Rofabær / Norðurás,Rofabær / Brekkubær,Árbæjarskóli,Bæjarbraut,Hálsabraut,Krókháls / Hálsabraut,Krókháls / Stuðlaháls,Krókháls / Suðurlandsvegur,Krókháls / GR,Vínlandsleið / Guðríðarstígur,Vínlandsleið / Húsasmiðjan,Þúsöld,Kristnibraut / Maríubaugur,Ingunnarskóli,Kristnibraut / Prestastígur,Gvendargeisli / Þórðarsveigur,Gvendargeisli / Sæmundarsel,Biskupsgata,Reynisvatn,Reynisvatnsvegur / Katrínarlind,Reynisvatnsvegur,Mímisbrunnur / Úlfarsbraut,Víkurvegur / Keldnaholt,Borgavegur / Víkurvegur,Borgavegur / Gullengi,Borgavegur,Spöngin
7:36:00,18:36:00,60,weekdays,A,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,3,4,1,0,1,1
