,,,,,90000397,90000375,90000391,90000321,90000322,90000335,90000336,90000338,90000323,90000352,90000634,90000537,90000408,90000409,90000410,90000411,90000412,90000315,90000305,90000316,90000317,90000733,90000734,90000758,90000759,90000760,90000154,90000349,90000350,90000351,90000421,90000414,90000039,90000041,90000046,90000047,90000048,90000049,90000050,90000295,90000011,90000330,90000331,90000609,90000333
From (time),To (time),Every (minutes),Days,Schedule Type,Norðlingabraut / Árvað,Norðlingabraut / Bjallavað,Norðlingabraut / Ferjuvað,Norðlingabraut / Helluvað,Bugða / Kambavað,Bugða / Lindarvað,Bugða / Móvað,Bugða / Reiðvað,Elliðabraut / Bugða,Elliðabraut / Sandavað,Elliðabraut / Árvað,Selásbraut / Þverás,Selásskóli,Selásbraut / Vallarás,Selásbraut / Skógarás,Selásbraut / Reykás,Selásbraut / Næfurás,Hraunsás,Fylkisvegur,Rofabær / Brekkubær,Árbæjarskóli,Bæjarbraut,Hálsabraut,Hálsabraut / Grjótháls,Grjótháls / Bitruháls,Bitruháls,Bæjarháls,Strengur / Laxakvísl,Strengur / Sílakvísl,Straumur / Nesti,Breiðhöfði / Ártún,Gerði,Mörkin,Glæsibær,Fjölskyldu og húsdýragarðurinn,Laugardalshöll,Nordica,Hátún,Fíladelfía,Hlemmur,Snorrabraut,Landspítalinn,BSÍ,Nauthólsvegur,Nauthóll - HR
6:59:00,19:29:00,30,weekdays,A,0,0,1,0,1,0,1,0,0,1,0,2,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,2,1,3,1,1,1,2,3
20:14:00,23:14:00,30,weekdays,A,0,0,1,0,1,0,1,0,0,1,0,2,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,2,1,3,1,1,1,2,3
23:44:00,0:14:00,30,weekdays,A,0,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:44:00,23:14:00,30,saturdays,A,0,0,1,0,1,0,1,0,0,1,0,2,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,2,1,3,1,1,1,2,3
23:44:00,0:14:00,30,saturdays,A,0,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:44:00,23:14:00,30,sundays,A,0,0,1,0,1,0,1,0,0,1,0,2,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,2,1,3,1,1,1,2,3
23:44:00,0:14:00,30,sundays,A,0,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
