,,,,,90000769,90000737,90000534,90000741,90000491,90000492,90000493,90000494,90000495,90000496,90000497,90000498,90000499,90000467,90000482,90000489,90000503,90000507,90000462,90000373,90000456,90000770,90000768
From (time),To (time),Every (minutes),Days,Schedule Type,Egilshöll,Víkurvegur / Borgavegur,Víkurvegur / Keldnaholt,Gagnvegur / Völundarhús,Gagnvegur / Brekkuhús,Gagnvegur / Vallarhús,Gagnvegur / Dalhús,Fjallkonuvegur / Gagnvegur,Fjallkonuvegur / Reykjafold,Fjallkonuvegur / Jöklafold,Fjallkonuvegur / Frostafold,Fjallkonuvegur / Hverafold,Funafold,Lokinhamrar / Bláhamrar,Lokinhamrar / Dverghamrar,Lokinhamrar / Gerðhamrar,Lokinhamrar / Hesthamrar,Lokinhamrar / Leiðhamrar,Lokinhamrar / Sporhamrar,Lokinhamrar / Vegghamrar,Gullinbrú / OLÍS,Strandvegur / Rimaflöt,Gufunesbær
7:12:00,8:57:00,15,weekdays,A,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1
12:42:00,18:57:00,15,weekdays,A,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1
