,,,,,90000768,90000490,90000480,90000473,90000474,90000475,90000523,90000388,90000390,90000736,90000356,90000357,90000358,90000359,90000360,90000361,90000362,90000363,90000364,90000740,90000439,90000519,90000769
From (time),To (time),Every (minutes),Days,Schedule Type,Gufunesbær,Strandvegur / Rimaflöt,Gullinbrú / OLÍS,Lokinhamrar / Vegghamrar,Lokinhamrar / Sporhamrar,Lokinhamrar / Leiðhamrar,Lokinhamrar / Hesthamrar,Lokinhamrar / Gerðhamrar,Lokinhamrar / Dverghamrar,Lokinhamrar / Bláhamrar,Funafold,Fjallkonuvegur / Hverafold,Fjallkonuvegur / Frostafold,Fjallkonuvegur / Logafold,Fjallkonuvegur / Reykjafold,Fjallkonuvegur / Gagnvegur,Gagnvegur / Dalhús,Gagnvegur / Vallarhús,Gagnvegur / Brekkuhús,Gagnvegur / Völundarhús,Víkurvegur / Keldnaholt,Víkurvegur / Borgavegur,Egilshöll
7:13:00,8:58:00,15,weekdays,A,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1
12:43:00,19:13:00,15,weekdays,A,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1
