,,,,,90000075,90000068,13001587,13001232,13001361,13001347,13001348,13001349,13001350,13001233,14001623,14001644,14001645,14001538,14001539,14001540,14001597,14001500
From (time),To (time),Every (minutes),Days,Schedule Type,Mjódd,Stekkjarbakki,Reykjanesbraut / Vífilstaðavegur,IKEA,Kauptún,Austurhraun / Miðhraun,Marel,Austurhraun / Suðurhraun,Suðurhraun,Flatahraun / Álftanesvegur,Fjarðarkaup,Bæjarhraun,Bæjarhraun / Flatahraun,Mávahraun,Álfaskeið,Sólvangur,Lækjargata,Fjörður
6:52:00,20:22:00,30,weekdays,A,0,1,5,3,1,1,1,0,1,1,2,1,0,1,1,1,2,2
7:52:00,20:22:00,30,saturdays,A,0,1,5,3,1,1,1,0,1,1,2,1,0,1,1,1,2,2
