,,,,,13001300,13001336,13001355,13001333,13001301,13001302,13001303,13001304,13001322,13001305,13001306,16031321,16031307,16031308,16031309,16031311,16031312,16031313,16031314,16031315,16031319,16031320,16031317,16031318,16031323,16031324,16031325,16031326,16031309,16031310,16031327,16031322,13001328,13001329,13001323,13001351,13001352,13001353,13001354,13001330,13001356,13001206,13001300
From (time),To (time),Every (minutes),Days,Schedule Type,Ásgarður,Vífilsstaðavegur / Sjávargrund,Sjálandsskóli,Vífilsstaðavegur / Sjáland,Ásabraut / Arnarás,Ásabraut / Birkiás,Ásabraut / Brekkuás,Ásabraut / Hraunsholtsbraut,Garðahraun,Álftanesvegur / Herjólfsgata,Álftanesvegur / Garðaholtsvegur,Álftanesvegur / Bessastaðir,Eyvindarstaðavegur,Túngata,Jörfavegur,Sjávargata,Hólmatún,Mýrarkot,Bakkavegur,Höfðabraut,Brekkuland,Breiðamýri,Brekkuland,Höfðabraut,Suðurnesvegur / Klukkuholt,Suðurnesvegur / Mýrarkot,Suðurnesvegur / Vesturtún,Suðurnesvegur / Sjávargata,Jörfavegur,Túngata,Eyvindarstaðavegur,Norðurnesvegur / Bessastaðir,Álftanesvegur / Garðaholtsvegur,Álftanesvegur / Herjólfsgata,Garðahraun,Ásabraut / Hraunsholtsbraut,Ásabraut / Brekkuás,Ásabraut / Birkiás,Ásabraut / Arnarás,Vífilsstaðavegur / Sjáland,Sjálandsskóli,Vífilsstaðavegur / Sjávargrund,Ásgarður
6:58:00,8:58:00,30,weekdays,A,0,2,0,1,0,1,0,1,0,0,1,2,1,0,1,2,1,1,1,1,1,1,,,,,,,,,,1,2,1,0,1,0,1,0,1,0,1,1
9:58:00,11:58:00,60,weekdays,A,0,2,0,1,0,1,0,1,0,0,1,2,1,0,1,2,1,1,1,1,1,1,,,,,,,,,,1,2,1,0,1,0,1,0,1,0,1,1
13:17:00,,,weekdays,A,0,2,0,1,0,1,0,1,0,0,1,2,1,0,1,2,1,1,1,1,1,1,,,,,,,,,,1,2,1,0,1,0,1,0,1,0,1,1
14:17:00,20:17:00,30,weekdays,B,0,2,0,1,0,1,0,1,0,0,1,2,,,,,,,,,,1,1,0,1,0,1,0,2,2,1,1,2,1,0,1,0,1,0,1,0,1,2
7:58:00,12:28:00,30,saturdays,A,0,2,0,1,0,1,0,1,0,0,1,2,1,0,1,2,1,1,1,1,1,1,,,,,,,,,,1,2,1,0,1,0,1,0,1,0,1,1
13:17:00,20:17:00,30,saturdays,A,0,2,0,1,0,1,0,1,0,0,1,2,1,0,1,2,1,1,1,1,1,1,,,,,,,,,,1,2,1,0,1,0,1,0,1,0,1,1
